Date,White,Black,W ELO,B ELO,Av ELO,Event,Site,ECO,Opening,Round,Res,# Mvs
2017-12-31,"Bus, Konrad","Molenda, Marcin",2237,2388,2312,28th Cracovia Open A,Krakow POL,A35,"English Opening, Symmetrical Variation, Four Knights Variation",6.16,½-½,13
2017-12-31,"Horvath, Dominik","Hnydiuk, Aleksander",2330,2412,2371,28th Cracovia Open A,Krakow POL,A34,"English Opening, Symmetrical Variation, Three Knights Variation",6.8,0-1,59
2017-12-31,"Krzyzanowski, Marcin","Sadzikowski, Daniel",2457,2584,2520,XXXVI Zamenhofa Mem,Bialystok POL,A07,"King's Indian Attack, General",9.3,0-1,41
2017-12-31,"Jurek, Josef","Schwabeneder, Florian",2256,2398,2327,26th Donau Open 2017,Aschach AUT,A07,"King's Indian Attack, General",7.7,½-½,41
2017-12-31,"Polajzer, Danilo","Salvenmoser, Stefan",2271,2200,2235,26th Donau Open 2017,Aschach AUT,D11,"Slav Defense, Quiet Variation",7.9,1-0,46
2017-12-31,"Taylor, Adam C","Radovanovic, Jovica",2242,2320,2281,Hastings Masters 2017-18,Hastings ENG,A46,"Indian Game, Wade-Tarkatower Defense",4.8,½-½,61
2017-12-31,"Krykun, Yuriy","Jedynak, Radoslaw",2372,2341,2356,28th Cracovia Open A,Krakow POL,A13,"English Opening, Anglo-Indian Defense, Romanishin Gambit",6.11,½-½,35
2017-12-31,"Schelle, Artur","Horvath, Jozsef",2219,2522,2370,26th Donau Open 2017,Aschach AUT,A00,"Hungarian Opening, General",7.6,½-½,29
2017-12-31,"Kowalczyk, Pawel","Dzierzak, Radoslaw",2387,2237,2312,XXXVI Zamenhofa Mem,Bialystok POL,A38,"English Opening, Symmetrical Variation, Full Symmetry Line",9.21,½-½,41
2017-12-31,"Lewtak, Damian","Sieciechowicz, Marcin",2358,2387,2372,XXXVI Zamenhofa Mem,Bialystok POL,D12,"Slav Defense, Quiet Variation, Schallopp Defense",9.1,1-0,54
2017-12-31,"Sielecki, Christof","Dietmayer-Kraeutler, Marco",2434,2328,2381,28th Cracovia Open A,Krakow POL,A14,"English Opening, Agincourt Defense, Neo Catalan Declined",6.7,½-½,19
2017-12-31,"Deshmukh, Anup","Karthikeyan, P.",2283,2497,2390,3rd IIFL Wealth Mumbai Op,Mumbai IND,A33,"English Opening, Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",2.7,½-½,32
2017-12-31,"Romanov, Evgeny","Zubov, Alexander",2626,2626,2626,28th Cracovia Open A,Krakow POL,A16,"English Opening, Anglo-Indian Defense, Anglo-Grünfeld Variation",6.1,½-½,9
2017-12-31,"Sowul, Bartosz","Warakomska, Anna",2222,2238,2230,XXXVI Zamenhofa Mem,Bialystok POL,A17,"English Opening, Anglo-Indian Defense, Nimzo-English Opening",9.2,½-½,29
2017-12-31,"Markowski, Tomasz","Omelja, Artem",2558,2414,2486,XXXVI Zamenhofa Mem,Bialystok POL,A15,"English Opening, Anglo-Indian Defense, Mikenas-Carls Variation",9.5,0-1,44
2017-12-31,"Dubinski, Mateusz","Gumularz, Szymon",2249,2376,2312,28th Cracovia Open A,Krakow POL,A43,"Benoni Defense, General",6.9,0-1,35
2017-12-31,"Laxman, R. R.","Mithil, Ajgaonkar",2413,2219,2316,3rd IIFL Wealth Mumbai Op,Mumbai IND,D11,"Slav Defense, Quiet Variation",2.16,1-0,61
2017-12-31,"Murphy, Conor E","Vakhidov, Jahongir",2313,2500,2406,Hastings Masters 2017-18,Hastings ENG,B07,"Pirc Defense, General",4.3,0-1,50
2017-12-31,"Shailesh, Dravid","Maghsoodloo, Parham",2306,2570,2438,3rd IIFL Wealth Mumbai Op,Mumbai IND,A40,"Modern Defense, Queen Pawn Fianchetto",2.5,0-1,47
2017-12-31,"Kveinys, Aloyzas","Karpus, Michal",2548,2328,2438,XXXVI Zamenhofa Mem,Bialystok POL,A45,"Trompowsky Attack, General",9.6,1-0,46
2017-12-31,"Fauland, Peter","Schreiner, Peter",2218,2457,2337,1st Schilcherlandopen,Deutschlandsberg AUT,D03,"Queen Pawn Game, Torre Attack",3.2,0-1,47
2017-12-31,"Gormally, Daniel W","Lou, Yiping",2477,2462,2469,Hastings Masters 2017-18,Hastings ENG,E06,"Catalan Opening, Closed Variation",4.1,½-½,28
2017-12-31,"Deviatkin, Andrei","Masango, S.",2471,2253,2362,3rd IIFL Wealth Mumbai Op,Mumbai IND,A46,"Indian Game, Knights Variation, General",2.11,1-0,85
2017-12-31,"Reich, Thomas","Tratar, Marko",2373,2459,2416,26th Donau Open 2017,Aschach AUT,A46,"Indian Game, London System",7.3,½-½,7
2017-12-31,"Berzinsh, Roland","Nowak, Lukasz",2421,2288,2354,XXXVI Zamenhofa Mem,Bialystok POL,A45,"Indian Game, General",9.16,1-0,79
2017-12-31,"Matras, Ondrej","Pisu, Robert-Daniel",2278,2261,2269,26th Donau Open 2017,Aschach AUT,A58,"Benko Gambit, Accepted, Fully Accepted Variation",7.5,½-½,40
